测站编码,时间,库上水位,入库流量,蓄水量,库下水位,出库流量,库水特征码,库水水势（4-落，5-涨，6平）,入流时段长,测流方法
61612300,1/12/2025 08:00:00,167.2,,12.7,,0.1,,6,,
61612300,21/11/2025 08:00:00,167.23,,12.74,,0.1,,6,,
61612300,11/11/2025 08:00:00,167.25,,12.76,,0.1,,6,,
61612300,1/11/2025 08:00:00,167.15,,12.65,,0.1,,4,,
61612300,21/10/2025 08:00:00,167.22,,12.72,,0.1,,4,,
61612300,16/10/2025 08:00:00,167.21,,12.71,,0.1,,4,,
61612300,15/10/2025 08:00:00,167.22,,12.72,,0.1,,4,,
61612300,14/10/2025 08:00:00,167.23,,12.73,,0.1,,4,,
61612300,13/10/2025 08:00:00,167.23,,12.74,,0.1,,6,,
61612300,12/10/2025 08:00:00,167.24,,12.75,,0.1,,4,,
61612300,11/10/2025 08:00:00,167.25,,12.76,,0.1,,4,,
61612300,10/10/2025 08:00:00,167.26,,12.77,,0.1,,4,,
61612300,9/10/2025 08:00:00,167.27,,12.78,,0.1,,4,,
61612300,8/10/2025 08:00:00,167.27,,12.79,,0.1,,4,,
61612300,7/10/2025 08:00:00,207,,14.6,,0.1,,6,,
61612300,6/10/2025 08:00:00,167.28,,12.8,,0.1,,4,,
61612300,5/10/2025 08:00:00,167.3,,12.83,,0.1,,6,,
61612300,4/10/2025 08:00:00,167.3,,12.83,,0.1,,6,,
61612300,3/10/2025 08:00:00,167.3,,12.83,,0.1,,6,,
61612300,2/10/2025 08:00:00,167.3,,12.83,,0.1,,6,,
61612300,1/10/2025 08:00:00,167.3,,12.83,,0.1,,6,,
61612300,30/9/2025 08:00:00,167.3,,12.83,,0.1,,5,,
61612300,29/9/2025 08:00:00,167.25,,12.76,,0.1,,6,,
61612300,28/9/2025 08:00:00,167.25,,12.76,,0.1,,4,,
61612300,27/9/2025 08:00:00,167.27,,12.77,,0.1,,4,,
61612300,26/9/2025 08:00:00,167.3,,12.78,,0.1,,6,,
61612300,25/9/2025 08:00:00,167.3,,12.78,,0.1,,5,,
61612300,24/9/2025 08:00:00,167.25,,12.77,,0.1,,6,,
61612300,23/9/2025 08:00:00,167.28,,12.8,,0.06,,4,,
61612300,22/9/2025 08:00:00,167.3,,12.83,,0.06,,6,,
61612300,21/9/2025 08:00:00,167.3,,12.83,,0.06,,4,,
61612300,20/9/2025 08:00:00,167.35,,12.89,,0.06,,6,,
61612300,19/9/2025 08:00:00,167.35,,12.89,,0.06,,6,,
61612300,18/9/2025 08:00:00,167.35,,12.89,,0.06,,5,,
61612300,17/9/2025 08:00:00,167.3,,12.83,,0.06,,5,,
