测站编码,时间,库上水位,入库流量,蓄水量,库下水位,出库流量,库水特征码,库水水势（4-落，5-涨，6平）,入流时段长,测流方法
61612700,1/12/2025 08:00:00,131.2,,31.3,,0.1,,5,,
61612700,21/11/2025 08:00:00,131.15,,31.2,,0.1,,5,,
61612700,11/11/2025 08:00:00,131.05,,31,,0.1,,5,,
61612700,1/11/2025 08:00:00,131,,30.9,,0.1,,5,,
61612700,21/10/2025 08:00:00,130.85,,30.5,,0.1,,6,,
61612700,16/10/2025 08:00:00,130.75,,30.27,,0.1,,5,,
61612700,15/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,14/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,13/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,12/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,11/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,10/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,9/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,8/10/2025 08:00:00,130.7,,30.15,,0.1,,6,,
61612700,7/10/2025 08:00:00,130.7,,30.15,,0.1,,5,,
61612700,6/10/2025 08:00:00,130.65,,30.08,,0.1,,6,,
61612700,5/10/2025 08:00:00,130.65,,30.08,,0.1,,5,,
61612700,4/10/2025 08:00:00,130.6,,30,,0.1,,6,,
61612700,3/10/2025 08:00:00,130.6,,30,,0.1,,6,,
61612700,2/10/2025 08:00:00,130.6,,30,,0.1,,5,,
61612700,1/10/2025 08:00:00,130.55,,29.9,,0.1,,5,,
61612700,30/9/2025 08:00:00,130.5,,29.8,,0.1,,6,,
61612700,29/9/2025 08:00:00,130.5,,29.8,,0.1,,5,,
61612700,28/9/2025 08:00:00,130.3,,29.4,,0.1,,6,,
61612700,27/9/2025 08:00:00,130.3,,29.4,,0.1,,5,,
61612700,26/9/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,25/9/2025 08:00:00,130.2,,29.2,,0.1,,4,,
61612700,24/9/2025 08:00:00,130.3,,29.4,,7.74,P,4,,
61612700,23/9/2025 08:00:00,130.4,,29.6,,7.74,P,4,,
61612700,22/9/2025 08:00:00,130.6,,30,,7.74,P,4,,
61612700,21/9/2025 08:00:00,130.8,,30.4,,7.74,P,4,,
61612700,20/9/2025 08:00:00,131,,30.9,,7.74,,4,,
61612700,19/9/2025 08:00:00,131.2,,31.3,,7.74,P,4,,
61612700,18/9/2025 08:00:00,131.4,,31.8,,7.74,P,4,,
61612700,17/9/2025 08:00:00,131.6,,32.2,,7.74,P,4,,
61612700,16/9/2025 08:00:00,131.7,,32.4,,7.74,P,4,,
61612700,15/9/2025 08:00:00,131.8,,32.6,,7.74,,4,,
61612700,14/9/2025 08:00:00,131.9,,32.9,,7.74,P,4,,
61612700,13/9/2025 08:00:00,132,,33.1,,7.74,P,4,,
61612700,12/9/2025 08:00:00,132,,33.1,,0.1,,5,,
61612700,11/9/2025 08:00:00,131.95,,33,,0.1,,5,,
61612700,10/9/2025 08:00:00,131.9,,32.9,,0.1,,5,,
61612700,9/9/2025 08:00:00,131.8,,32.6,,0.1,,5,,
61612700,8/9/2025 08:00:00,131.7,,32.4,,0.1,,5,,
61612700,7/9/2025 08:00:00,131.6,,32.2,,0.1,,6,,
61612700,6/9/2025 08:00:00,131.6,,32.2,,0.1,,5,,
61612700,5/9/2025 08:00:00,131.5,,32,,0.1,,6,,
61612700,4/9/2025 08:00:00,131.5,,32,,0.1,,5,,
61612700,3/9/2025 08:00:00,131.4,,31.8,,0.1,,5,,
61612700,2/9/2025 08:00:00,131.2,,31.3,,0.1,,5,,
61612700,1/9/2025 08:00:00,130.6,,30,,0.1,,5,,
61612700,31/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,30/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,29/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,28/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,27/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,26/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,25/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,24/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,23/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,22/8/2025 08:00:00,130.2,,29.2,,0.1,,6,,
61612700,21/8/2025 08:00:00,130.2,,29.2,,0.1,,5,,
61612700,20/8/2025 08:00:00,130.15,,29.08,,0.1,,6,,
61612700,19/8/2025 08:00:00,130.15,,29.08,,0.1,,6,,
61612700,18/8/2025 08:00:00,130.15,,29.08,,0.1,,5,,
61612700,17/8/2025 08:00:00,130.1,,28.95,,0.1,,6,,
61612700,16/8/2025 08:00:00,130.1,,28.95,,0,,6,,
61612700,15/8/2025 08:00:00,130.1,,28.95,,0.1,,5,,
61612700,14/8/2025 08:00:00,130,,28.7,,0.1,,6,,
61612700,13/8/2025 08:00:00,130,,28.7,,0.1,,6,,
61612700,12/8/2025 08:00:00,130,,28.7,,0.1,,5,,
61612700,11/8/2025 08:00:00,129.5,,27.7,,0.1,,5,,
61612700,10/8/2025 08:00:00,129.35,,27.3,,0.1,,5,,
61612700,9/8/2025 08:00:00,129.31,,27.31,,0.1,,5,,
61612700,8/8/2025 08:00:00,129.3,,27.2,,0.1,,6,,
61612700,7/8/2025 08:00:00,129.3,,27.2,,0.1,,6,,
61612700,6/8/2025 08:00:00,129.3,,27.2,,0.1,,5,,
61612700,5/8/2025 08:00:00,129.2,,27,,0,,6,,
61612700,4/8/2025 08:00:00,129.2,,27,,0,,6,,
61612700,3/8/2025 08:00:00,129.2,,27,,0,,6,,
61612700,2/8/2025 08:00:00,129.2,,27,,0,,6,,
61612700,1/8/2025 08:00:00,129.2,,27,,0,,6,,
61612700,31/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,30/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,29/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,28/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,27/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,26/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,25/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,24/7/2025 08:00:00,129.2,,27,,0,,6,,
61612700,23/7/2025 08:00:00,129.2,,27,,0,,6,,
