测站编码,时间,时段降水量（5分钟雨量）,时段长,降水历时,日降水量,天气状况（5-雪，6-雨夹雪，7-雨，8-阴，9-晴）
61612610,15/10/2025 15:55:00,0.5,,,,7
61612610,15/10/2025 15:45:00,0.5,,,,7
61612610,15/10/2025 15:40:00,1,,,,7
61612610,15/10/2025 15:30:00,0.5,,,,7
61612610,15/10/2025 13:10:00,0.5,,,,7
61612610,15/10/2025 13:00:00,0.5,,,,7
61612610,15/10/2025 12:50:00,0.5,,,,7
61612610,15/10/2025 12:25:00,0.5,,,,7
61612610,15/10/2025 11:20:00,1,,,,7
61612610,15/10/2025 10:25:00,0.5,,,,7
61612610,15/10/2025 10:20:00,0.5,,,,7
61612610,15/10/2025 10:05:00,0.5,,,,7
61612610,13/10/2025 21:20:00,0.5,,,,7
61612610,13/10/2025 11:05:00,0.5,,,,7
61612610,2/10/2025 17:35:00,0.5,,,,7
61612610,30/9/2025 12:00:00,0.5,,,,7
61612610,30/9/2025 05:35:00,0.5,,,,7
61612610,30/9/2025 05:25:00,1,,,,7
61612610,30/9/2025 05:15:00,0.5,,,,7
61612610,30/9/2025 04:50:00,0.5,,,,7
61612610,30/9/2025 04:20:00,0.5,,,,7
61612610,30/9/2025 04:15:00,0.5,,,,7
61612610,30/9/2025 02:05:00,0.5,,,,7
61612610,29/9/2025 14:25:00,1,,,,7
61612610,29/9/2025 14:20:00,0.5,,,,7
61612610,25/9/2025 21:15:00,0.5,,,,7
61612610,25/9/2025 21:10:00,2.5,,,,7
61612610,25/9/2025 21:05:00,0.5,,,,7
61612610,25/9/2025 21:00:00,2,,,,7
61612610,25/9/2025 20:55:00,2.5,,,,7
61612610,25/9/2025 20:50:00,1,,,,7
61612610,25/9/2025 16:00:00,0.5,,,,7
61612610,25/9/2025 10:15:00,0.5,,,,7
61612610,25/9/2025 09:25:00,0.5,,,,7
61612610,25/9/2025 08:50:00,0.5,,,,7
61612610,25/9/2025 08:30:00,0.5,,,,7
61612610,25/9/2025 08:20:00,0.5,,,,7
61612610,25/9/2025 07:50:00,0.5,,,,7
61612610,25/9/2025 06:40:00,0.5,,,,7
61612610,25/9/2025 04:40:00,0.5,,,,7
61612610,25/9/2025 04:35:00,1,,,,7
61612610,25/9/2025 04:30:00,2,,,,7
61612610,25/9/2025 04:25:00,3,,,,7
61612610,25/9/2025 04:20:00,2.5,,,,7
61612610,25/9/2025 04:15:00,1.5,,,,7
61612610,25/9/2025 04:10:00,2,,,,7
61612610,25/9/2025 04:05:00,1.5,,,,7
61612610,25/9/2025 04:00:00,1,,,,7
61612610,24/9/2025 09:35:00,0.5,,,,7
61612610,24/9/2025 08:00:00,0.5,,,,7
61612610,24/9/2025 07:45:00,0.5,,,,7
61612610,24/9/2025 07:35:00,0.5,,,,7
61612610,24/9/2025 07:15:00,0.5,,,,7
61612610,24/9/2025 07:05:00,0.5,,,,7
61612610,15/9/2025 04:00:00,0.5,,,,7
61612610,15/9/2025 01:10:00,0.5,,,,7
61612610,14/9/2025 13:50:00,0.5,,,,7
61612610,14/9/2025 13:30:00,0.5,,,,7
